SKU,Name,Price,category,brand,StockQuantity,InStock,IsFeatured,IsActive,Rating,ReviewCount,CreatedAt
WS25SS61T-LD,Áo Sơ Mi Nam Tay Dài Form Ôm WS25SS61T-LD,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.258705+07
WS25SS59C-LD,Áo Sơ Mi Nam Tay Dài Form Ôm WS25SS59C-LD,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.258035+07
WS25SS57C-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS57C-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.257374+07
WS25SS56P-CF,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS25SS56P-CF,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.256732+07
WS25SS55C-SD,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS55C-SD,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.25607+07
WS25SS54P-SC,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS25SS54P-SC,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.255397+07
WS25SS53P-SC,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS25SS53P-SC,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.254796+07
WS25SS52T-CF,Áo Sơ Mi Nam Tay Ngắn Form Ôm Vừa WS25SS52T-CF,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.254169+07
WS25SS51T-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS51T-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.253497+07
WS25SS50T-SD,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS50T-SD,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.236064+07
WS25SS49P-CF,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS49P-CF,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.235461+07
WS25SS48P-SD,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS48P-SD,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.234815+07
WS25SS47P-SD,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS47P-SD,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.234167+07
WS25SS46C-SC,Áo Sơ Mi Nam Tay Ngắn WS25SS46C-SC,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.233536+07
WS25SS45T-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS45T-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.232889+07
WS25SS44C-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS44C-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.23221+07
WS25SS42P-LD,Áo Sơ Mi Tay Dài Form Ôm WS25SS42P-LD,750000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.231418+07
WS25SS41P-SD,Áo Sơ Mi Tay Ngắn Form Ôm WS25SS41P-SD,650000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.23056+07
WS25SS40C-LDBB,Áo Sơ Mi Nam Tay Dài Form Ôm WS25SS40C-LDBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.229885+07
WS25SS39C-SCBB,Áo Sơ Mi Tay Ngắn Form Vừa WS25SS39C-SCBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.22919+07
