SKU,CSV_Name,DB_Name,Old_Price,New_Price
JK25FH04C-PA,Áo Khoác Nam Cá Tính JK25FH04C-PA,Áo Khoác Nam Cá Tính JK25FH04C-PA,500000.0,1500000.0
JK25FH09P-KA,Áo Khoác Nam Cá Tính JK25FH09P-KA,Áo Khoác Nam Cá Tính JK25FH09P-KA,500000.0,1100000.0
JK25FH10T-KA,Áo Khoác Nam Thời Trang JK25FH10T-KA,Áo Khoác Nam Thời Trang JK25FH10T-KA,500000.0,1100000.0
JK25SS01T-PA,Áo Khoác Nam Thời Trang JK25SS01T-PA,Áo Khoác Nam Thời Trang JK25SS01T-PA,500000.0,1200000.0
SW25FH03P-SA,Áo Len Nam Tay Ngắn Form Vừa SW25FH03P-SA,Áo Len Nam Tay Ngắn Form Vừa SW25FH03P-SA,500000.0,800000.0
SW25FH04M-LB,Áo Len Nam Tay Dài Form Vừa SW25FH04M-LB,Áo Len Nam Tay Dài Form Vừa SW25FH04M-LB,500000.0,800000.0
KS25FH43C-SCCA,Áo Polo Nam Tay Ngắn Form Vừa KS25FH43C-SCCA,Áo Polo Nam Tay Ngắn Form Vừa KS25FH43C-SCCA,500000.0,700000.0
KS25FH44C-SCCA,Áo Polo Nam Form Vừa KS25FH44C-SCCA,Áo Polo Nam Form Vừa KS25FH44C-SCCA,500000.0,700000.0
KS25FH45C-SCCA,Áo Polo Nam Tay Ngắn Form Vừa KS25FH45C-SCCA,Áo Polo Nam Tay Ngắn Form Vừa KS25FH45C-SCCA,500000.0,700000.0
KS25FH46T-SCCA,Áo Polo Nam Tay Ngắn Form Vừa KS25FH46T-SCCA,Áo Polo Nam Tay Ngắn Form Vừa KS25FH46T-SCCA,500000.0,700000.0
KS25FH49C-SLWK,Áo Polo Nam Form Ôm Tay Ngắn KS25FH49C-SLWK,Áo Polo Nam Form Ôm Tay Ngắn KS25FH49C-SLWK,500000.0,550000.0
KS25FH57C-SC,Áo Polo Nam Tay Ngắn Form Vừa KS25FH57C-SC,Áo Polo Nam Tay Ngắn Form Vừa KS25FH57C-SC,500000.0,550000.0
KS25SS08C-SCHE,Áo Polo Nam Tay Ngắn Form Vừa KS25SS08C-SCHE,Áo Polo Nam Tay Ngắn Form Vừa KS25SS08C-SCHE,500000.0,980000.0
FWKS25FH06C,Áo Thun Polo Nữ FWKS25FH06C,Áo Thun Polo Nữ FWKS25FH06C,500000.0,450000.0
FWKS25SS02G,Áo Polo Cổ V – FWKS25SS02G,Áo Polo Cổ V – FWKS25SS02G,500000.0,399000.0
FWKS25SS07C,Áo Thun Polo Nữ Kẻ Sọc FWKS25SS07C,Áo Thun Polo Nữ Kẻ Sọc FWKS25SS07C,500000.0,399000.0
WS25FH63P-LC,Áo Sơ Mi Nam Tay Dài Form Ôm WS25FH63P-LC,Áo Sơ Mi Nam Tay Dài Form Ôm WS25FH63P-LC,500000.0,800000.0
WS25FH64C-CFBB,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS25FH64C-CFBB,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS25FH64C-CFBB,500000.0,700000.0
WS25FH65P-SDBB,Áo Sơ Mi Nam Form Ôm Tay Ngắn WS25FH65P-SDBB,Áo Sơ Mi Nam Form Ôm Tay Ngắn WS25FH65P-SDBB,500000.0,700000.0
WS25FH66C-CFBB,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS25FH66C-CFBB,Áo Sơ Mi Nam Tay Ngắn Form Vừa WS25FH66C-CFBB,500000.0,700000.0
WS25FH68C-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25FH68C-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25FH68C-SDBB,500000.0,700000.0
WS25FH70T-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25FH70T-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25FH70T-SDBB,500000.0,700000.0
WS25FH78P-CL,Áo Sơ Mi Nam Tay Ngắn Form Rộng WS25FH78P-CL,Áo Sơ Mi Nam Tay Ngắn Form Rộng WS25FH78P-CL,500000.0,600000.0
WS25FH98T-LD,Áo Sơ Mi Nam Form Ôm Tay Dài WS25FH98T-LD,Áo Sơ Mi Nam Form Ôm Tay Dài WS25FH98T-LD,500000.0,800000.0
WS25SS33P-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS33P-SDBB,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS33P-SDBB,500000.0,700000.0
FWTS25FH02C,Áo Thun Dệt Kim Trắng – FWTS25FH02C,Áo Thun Dệt Kim Trắng – FWTS25FH02C,500000.0,650000.0
FWTS25SS15C,Áo Thun Trắng Cổ Tròn Xẻ Tà FWTS25SS15C,Áo Thun Trắng Cổ Tròn Xẻ Tà FWTS25SS15C,500000.0,299000.0
TS25FH19T-RGUS,Áo Thun Nam Tay Ngắn Form Vừa TS25FH19T-RGUS,Áo Thun Nam Tay Ngắn Form Vừa TS25FH19T-RGUS,500000.0,420000.0
TS25FH22C-LS,Áo Hoodie Nam Tay Dài TS25FH22C-LS,Áo Hoodie Nam Tay Dài TS25FH22C-LS,500000.0,800000.0
TS25SS09C-RGUS,Áo Thun Nam Form Vừa Tay Ngắn TS25SS09C-RGUS,Áo Thun Nam Form Vừa Tay Ngắn TS25SS09C-RGUS,500000.0,420000.0
TS25SS12C-RGUS,Áo Thun Nam Tay Ngắn Form Vừa TS25SS12C-RGUS,Áo Thun Nam Tay Ngắn Form Vừa TS25SS12C-RGUS,500000.0,420000.0
FWSK25FH04G,Chân Váy Houndstooth Đuôi Cá FWSK25FH04G,Chân Váy FWSK25FH04G,500000.0,399000.0
FWSK25FH12C,Mini Skirt Basic Màu Beige FWSK25FH12C,Mini Skirt Basic Màu Beige FWSK25FH12C,500000.0,399000.0
FWSK25SS09C,Chân Váy Midi Xếp Nhún FWSK25SS09C,Chân Váy Dài FWSK25SS09C,500000.0,599000.0
FWDR25SS014G,Đầm Nữ Dáng Dài Gài Nút FWDR25SS014G,Đầm Nữ Dáng Dài Gài Nút FWDR25SS014G,500000.0,599000.0
FWDR25SS17C,Đầm Trắng Dáng Wrap Cổ Tim FWDR25SS17C,Đầm Trắng Dáng Wrap Cổ Tim FWDR25SS17C,500000.0,649000.0
FWDR25SS22C,Đầm Trắng Dài Xếp Ly FWDR25SS22C,Đầm Trắng Dài Xếp Ly FWDR25SS22C,500000.0,699000.0
FWDR25SS23C,Đầm Suông Dài Không Tay FWDR25SS23C,Đầm Suông Dài Không Tay FWDR25SS23C,500000.0,699000.0
FWDR25SS26G,Đầm Dáng Suông Cổ Polo FWDR25SS26G,Đầm Dáng Suông Cổ Polo FWDR25SS26G,500000.0,549000.0
FWDR25SS33C,Đầm Sơ Mi Không Tay FWDR25SS33C,Đầm Sơ Mi Không Tay FWDR25SS33C,500000.0,699000.0
SO25FH07P-SA,Dép Quai Ngang SO25FH07P-SA,Dép Quai Ngang SO25FH07P-SA,500000.0,250000.0
FWBA24SS01,Túi Tote Nữ Thời Trang FWBA24SS01,Túi Tote Nữ Thời Trang FWBA24SS01,500000.0,1249000.0
