Đường DT 759, P. Phước Bình, Thị Xã Phước Long; 
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Bình Dương;
53D Nguyễn Văn Tiết, P. Lái Thiêu, TP.Thuận An, Bình Dương; 
Thương hiệu: John Henry; 
223 Nguyễn An Ninh, TP. Dĩ An, Bình Dương;0562.008.072
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Đà Nẵng; 
26 Ngô Văn Sở, P. Hòa Khánh Bắc, Q. Liên Chiểu, TP. Đà Nẵng;0947.967.346
Thương hiệu: John Henry;
267 Ông Ích Đường, P. Khuê Trung, Q. Cẩm Lệ, TP. Đà Nẵng;0905.867.808
Thương hiệu: John Henry;
17 Nguyễn Văn Thoại, Q. Sơn Trà, TP. Đà Nẵng;0989.357.594
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Đăk Lăk; 
255 Lê Duẩn, P. Ea Tam, TP. Ban Mê Thuột; 
Thương hiệu: John Henry; 
21A Lê Duẩn, Thị Trấn Phước An, H. Krông Pắc;0949.476.060
Thương hiệu: John Henry;
542 Hùng Vương, P. Buôn Hồ, Đăk Lăk; 
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Đăk Nông; 
20 Tôn Đức Thắng, P. Nghĩa Thành, TP. Gia Nghĩa;0968.888.279
Thương hiệu: John Henry;
Trục quốc lộ 28, Thôn 4, X. Quảng Khê, H.Đắk Glong; 
Thương hiệu: John Henry;
Thôn 10, X. Nam Bình, H. Đăk Song;0365.960.979
Thương hiệu: John Henry;
55A Lê Duẩn, Thị trấn Đắk Mil; 
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Đồng Nai; 
14 Nguyễn Thị Minh Khai, P. Xuân An, TP. Long Khánh;0343.888.914
Thương hiệu: John Henry;
290 Lê Duẩn, Khu Văn Hải, Thị Trấn Long Thành, Huyện Long Thành; 
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Điện Biên; 
61 Phố 4, P. Mường Thanh, TP. Điện Biên Phủ; 
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Hà Tĩnh; 
97 Phan Đình Phùng, P. Nam Hà, TP. Hà Tĩnh; 
Thương hiệu: John Henry; 
Cửa hàng nhượng quyền tại Hồ Chí Minh; 
372A Nguyễn Ảnh Thủ, P. Trung Mỹ Tây, Q.12, TP.HCM;0522.188.983
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Kiên Giang; 
289 Nguyễn Trung Trực, KP. 5, P. Đông Dương, TP. Phú Quốc; 
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Kon Tum; 
152 -154 Lê Hồng Phong, TP. Kon Tum;0935.997.337
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Long An; 
69 Nguyễn Trung Trực, P. 2, TP. Tân An; 
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Ninh Bình; 
209 Lương Văn Thăng, P. Đông Thành, TP. Ninh Bình; 
Thương hiệu: John Henry; 
Cửa hàng nhượng quyền tại Phú Yên; 
185 Phan Đình Phùng, P. 2, TP. Tuy Hòa;0984.010.864
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Quảng Bình; 
39 Trần Hưng Đạo, TP. Đồng Hới, TP. Quảng Bình; 
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Quảng Nam; 
169 Lý Thường Kiệt, TP Hội An;0931.919.522
Thương hiệu: John Henry;
216 Trần Nhân Tông, P Vĩnh Điện, TX Điện Bàn;0905.788.535
Thương hiệu: John Henry;
90 Nguyễn Thành Hãn, TT. Nam Phước, H. Duy Xuyên; 
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Quảng Trị; 
19 Hùng Vương, Khu phố 7, P. 1, TP. Đông Hà;0982.850.027
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Vĩnh Long; 
58 Phạm Thái Bường, P.4, TP. Vĩnh Long;0916.588.001
Thương hiệu: John Henry - Freelancer;
Cửa hàng nhượng quyền tại Vĩnh Phúc; 
200 Mê Linh, P. Liên Bảo, TP. Vĩnh Yên, Vĩnh Phúc;0585.661.857
Thương hiệu: John Henry;
Cửa hàng nhượng quyền tại Vũng Tàu; 
99 Đường 30 Tháng 4, P. Rạch Dừa, TP. Vũng Tàu; 
Thương hiệu: John Henry;
346 Cách Mạng Tháng Tám, P.Phước Trung, TP. Bà Rịa;0978.796.046
Thương hiệu: John Henry;
Đối tác phân phối tại Điện Biên; 
65 Nguyễn Chí Thanh, Tổ 11, P. Mường Thanh, TP. Điện Biên Phủ; 
Thương hiệu: John Henry;
988 Tổ 6, P. Mường Thanh, TP. Điện Biên Phủ; 
Thương hiệu: John Henry;
Đối tác phân phối tại Hà Nội; 
117 Tổ 1 Miếu Thờ Tiền Dược, H. Sóc Sơn, TP. Hà Nội; 
Thương hiệu: John Henry;
73 Cao Lỗ, Thị trấn Đông Anh, TP. Hà Nội; 
Thương hiệu: John Henry;
Đối tác phân phối tại Thái Bình; 
220 Lê Quý Đôn, P. Bồ Xuyên, TP. Thái Bình; 
Thương hiệu: John Henry;
Đối tác phân phối tại Đồng Nai; 
Km 117, Quốc Lộ 20, Ấp 5, Xã Phú Vinh, H. Ðịnh Quán; 
Thương hiệu: John Henry;
Đối tác phân phối tại Hồ Chí Minh; 
1016 Phạm Văn Đồng, P.Hiệp Bình Chánh, TP. Thủ Đức; 
Thương hiệu: John Henry;
Đối tác phân phối tại Quảng Bình; 
Thôn Thanh Gianh, X. Thanh Trạch, H. Bố Trạch, Quảng Bình; 
Thương hiệu: John Henry;
